epsilon,shift,zoom_upper,loss,accuracy,precision,recall
0.0,0,1.0,0.28018513321876526,0.9021276831626892,0.91543048620224,0.8895744681358337
0.0,0,1.1,0.29682761430740356,0.8941489458084106,0.9105225205421448,0.8795744776725769
0.0,0,1.2,0.3174069821834564,0.8831382989883423,0.9026289582252502,0.8693085312843323
0.0,2,1.0,0.29773083329200745,0.8949999809265137,0.9111025333404541,0.8782446980476379
0.0,2,1.1,0.3140028417110443,0.8883510828018188,0.9090102314949036,0.8720212578773499
0.0,2,1.2,0.3288382291793823,0.8789361715316772,0.9008374214172363,0.8639893531799316
0.0,4,1.0,0.5310825109481812,0.8285106420516968,0.8635241389274597,0.800000011920929
0.0,4,1.1,0.5086370706558228,0.8320744633674622,0.8694353699684143,0.8051064014434814
0.0,4,1.2,0.4703327715396881,0.8361701965332031,0.8709179162979126,0.8100000023841858
0.1,0,1.0,7.889174938201904,0.14648936688899994,0.16545061767101288,0.1302659511566162
0.1,0,1.1,5.429394245147705,0.2282978743314743,0.27266234159469604,0.20303191244602203
0.1,0,1.2,5.113166809082031,0.24021276831626892,0.29015618562698364,0.21244680881500244
0.1,2,1.0,7.8788347244262695,0.15297871828079224,0.17198185622692108,0.1351063847541809
0.1,2,1.1,5.3897600173950195,0.23462766408920288,0.2791845500469208,0.20760639011859894
0.1,2,1.2,5.106076240539551,0.244202122092247,0.29067668318748474,0.21409574151039124
0.1,4,1.0,8.285478591918945,0.129148930311203,0.14531132578849792,0.11382978409528732
0.1,4,1.1,5.538218975067139,0.21829786896705627,0.26173311471939087,0.18925531208515167
0.1,4,1.2,5.203253269195557,0.22984042763710022,0.28010374307632446,0.2010638266801834
0.2,0,1.0,22.45370101928711,0.03393616899847984,0.03427895903587341,0.03239361569285393
0.2,0,1.1,17.826475143432617,0.0424468070268631,0.042894814163446426,0.03893617168068886
0.2,0,1.2,17.472326278686523,0.04292553290724754,0.04345778003334999,0.03925531730055809
0.2,2,1.0,22.594396591186523,0.03478723391890526,0.03506500646471977,0.033138297498226166
0.2,2,1.1,17.83286476135254,0.04409574344754219,0.04459197446703911,0.0403723418712616
0.2,2,1.2,17.41966438293457,0.04276595637202263,0.04339401051402092,0.03930851072072983
0.2,4,1.0,22.996957778930664,0.03239361569285393,0.03256983309984207,0.031010638922452927
0.2,4,1.1,17.75225257873535,0.03999999910593033,0.040762923657894135,0.037287235260009766
0.2,4,1.2,17.145675659179688,0.039734043180942535,0.039885204285383224,0.036223404109478
