,var,variable,value
0,0.75,loss,1.023558497428894
1,0.8,loss,0.6726478934288025
2,0.8500000000000001,loss,0.47975486516952515
3,0.9000000000000001,loss,0.38278815150260925
4,0.9500000000000002,loss,0.338659405708313
5,1.0,loss,0.32401859760284424
6,0.75,accuracy,0.7029787302017212
7,0.8,accuracy,0.7838829755783081
8,0.8500000000000001,accuracy,0.8358510732650757
9,0.9000000000000001,accuracy,0.865265965461731
10,0.9500000000000002,accuracy,0.8795212507247925
11,1.0,accuracy,0.885212779045105
12,0.75,precision,0.7970501184463501
13,0.8,precision,0.85126793384552
14,0.8500000000000001,precision,0.8811343908309937
15,0.9000000000000001,precision,0.8979684710502625
16,0.9500000000000002,precision,0.9029775857925415
17,1.0,precision,0.9012026786804199
18,0.75,recall,0.6467553377151489
19,0.8,recall,0.7410106658935547
20,0.8500000000000001,recall,0.8031914830207825
21,0.9000000000000001,recall,0.8393617272377014
22,0.9500000000000002,recall,0.8613829612731934
23,1.0,recall,0.8728723526000977
