,var,variable,value
0,0.05,loss,0.30624857544898987
1,0.1,loss,0.3872181177139282
2,0.15,loss,0.6266015768051147
3,0.2,loss,1.049755334854126
4,0.25,loss,1.6015608310699463
5,0.3,loss,2.2551779747009277
6,0.35,loss,2.938162088394165
7,0.0,loss,0.2801850438117981
8,0.05,accuracy,0.8898404240608215
9,0.1,accuracy,0.8586702346801758
10,0.15,accuracy,0.7831382751464844
11,0.2,accuracy,0.6747872233390808
12,0.25,accuracy,0.5575531721115112
13,0.3,accuracy,0.440265953540802
14,0.35,accuracy,0.3297872245311737
15,0.0,accuracy,0.9021276831626892
16,0.05,precision,0.9089750051498413
17,0.1,precision,0.8899499773979187
18,0.15,precision,0.835411012172699
19,0.2,precision,0.753444254398346
20,0.25,precision,0.654772162437439
21,0.3,precision,0.5348671674728394
22,0.35,precision,0.4117846190929413
23,0.0,precision,0.91543048620224
24,0.05,recall,0.8721808791160583
25,0.1,recall,0.8327659368515015
26,0.15,recall,0.7378723621368408
27,0.2,recall,0.616702139377594
28,0.25,recall,0.4860638380050659
29,0.3,recall,0.35984042286872864
30,0.35,recall,0.2587234079837799
31,0.0,recall,0.8895744681358337
