,var,variable,value
0,0.75,loss,13.720809936523438
1,0.8,loss,10.784912109375
2,0.8500000000000001,loss,7.519846439361572
3,0.9000000000000001,loss,4.1848320960998535
4,0.9500000000000002,loss,1.2887696027755737
5,1.0,loss,0.2801850438117981
6,0.75,accuracy,0.06920212507247925
7,0.8,accuracy,0.10611701756715775
8,0.8500000000000001,accuracy,0.1810106337070465
9,0.9000000000000001,accuracy,0.3469148874282837
10,0.9500000000000002,accuracy,0.681382954120636
11,1.0,accuracy,0.9021276831626892
12,0.75,precision,0.07023720443248749
13,0.8,precision,0.1144789457321167
14,0.8500000000000001,precision,0.210943803191185
15,0.9000000000000001,precision,0.4127632975578308
16,0.9500000000000002,precision,0.7524543404579163
17,1.0,precision,0.91543048620224
18,0.75,recall,0.06473404169082642
19,0.8,recall,0.09904254972934723
20,0.8500000000000001,recall,0.1669148951768875
21,0.9000000000000001,recall,0.31686168909072876
22,0.9500000000000002,recall,0.6441489458084106
23,1.0,recall,0.8895744681358337
