,var,variable,value
0,0.05,loss,0.31944945454597473
1,0.1,loss,0.3173636794090271
2,0.15,loss,0.3177509605884552
3,0.2,loss,0.3208220899105072
4,0.25,loss,0.32387909293174744
5,0.3,loss,0.3314034342765808
6,0.35,loss,0.34178560972213745
7,0.0,loss,0.32401859760284424
8,0.05,accuracy,0.8868085145950317
9,0.1,accuracy,0.8889893889427185
10,0.15,accuracy,0.8893616795539856
11,0.2,accuracy,0.8890425562858582
12,0.25,accuracy,0.8868616819381714
13,0.3,accuracy,0.8852659463882446
14,0.35,accuracy,0.8813830018043518
15,0.0,accuracy,0.885212779045105
16,0.05,precision,0.9023493528366089
17,0.1,precision,0.9040074348449707
18,0.15,precision,0.9040517807006836
19,0.2,precision,0.9063444137573242
20,0.25,precision,0.9047566652297974
21,0.3,precision,0.9031598567962646
22,0.35,precision,0.9013358354568481
23,0.0,precision,0.9012026786804199
24,0.05,recall,0.8744149208068848
25,0.1,recall,0.8771276473999023
26,0.15,recall,0.8770744800567627
27,0.2,recall,0.8776595592498779
28,0.25,recall,0.8731383085250854
29,0.3,recall,0.8696276545524597
30,0.35,recall,0.8649467825889587
31,0.0,recall,0.8728723526000977
